,culture,primaryImageSmall
176,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap22.45.6.jpg
177,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP-15898-001.jpg
178,China,https://images.metmuseum.org/CRDImages/as/web-large/1976_1_2_O.JPG
179,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153579.jpg
180,China,https://images.metmuseum.org/CRDImages/as/web-large/DP159091.jpg
181,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161176.jpg
182,China,https://images.metmuseum.org/CRDImages/as/web-large/DP204356_CRD.jpg
183,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP221115.jpg
184,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP361153.jpg
185,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161672.jpg
186,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161479.jpg
187,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP231849.jpg
188,Japan,https://images.metmuseum.org/CRDImages/as/web-large/LC-14_76_13_jps-008.jpg
189,Japan,https://images.metmuseum.org/CRDImages/as/web-large/LC-14_76_16_jps-007.jpg
190,China,https://images.metmuseum.org/CRDImages/as/web-large/DP156828.jpg
191,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP224363.jpg
192,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT229630.jpg
193,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6849.jpg
194,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP205547.jpg
195,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153842.jpg
196,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_76_55.JPG
197,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6916.jpg
198,Japan,https://images.metmuseum.org/CRDImages/as/web-large/56_121_17_162307.jpg
199,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap39.37.jpg
200,China,https://images.metmuseum.org/CRDImages/as/web-large/DP162877.jpg
201,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap96.23.jpg
202,America,https://images.metmuseum.org/CRDImages/ad/web-large/SFcs324.jpg
203,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP105573.jpg
204,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT2829.jpg
205,Japan,https://images.metmuseum.org/CRDImages/as/web-large/56_121_38_162328.jpg
206,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6658.jpg
207,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap54.181 recto.jpg
208,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap54.90.136.jpg
209,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211802.jpg
210,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap32.134.2.jpg
211,China,https://images.metmuseum.org/CRDImages/as/web-large/13_220_16_O2.jpg
212,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP162123.jpg
213,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-1309-002.jpg
214,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154167.jpg
215,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT7757.jpg
216,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap49.146.jpg
217,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP234311_CRD.jpg
218,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap67.155.1.jpg
219,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap68.222.28.jpg
220,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161238.jpg
221,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP145444.jpg
222,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6762.jpg
223,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS238.jpg
224,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap50.9.jpg
225,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP260463.jpg
226,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP218093.jpg
227,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP217031.jpg
228,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP144804.jpg
229,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap15.129.jpg
230,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap26.125.2.jpg
231,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap06.1287.jpg
232,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP102298.jpg
233,Japan,https://images.metmuseum.org/CRDImages/as/web-large/14_140_21_F_sf.jpg
234,China,https://images.metmuseum.org/CRDImages/as/web-large/DP-18087-002.jpg
235,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP162107.jpg
236,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT9458.jpg
237,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap74.24.jpg
238,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP157092.jpg
239,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211863.jpg
240,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap32.67.1.jpg
241,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap1982.373.jpg
242,China,https://images.metmuseum.org/CRDImages/as/web-large/DP200891_CRD.jpg
243,China,https://images.metmuseum.org/CRDImages/as/web-large/DP318738.jpg
244,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap54.90.165.jpg
245,China,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_159.jpg
246,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6844.jpg
247,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP222172.jpg
248,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP145440.jpg
249,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700715.jpg
250,China,https://images.metmuseum.org/CRDImages/as/web-large/DP235494.jpg
251,China,https://images.metmuseum.org/CRDImages/as/web-large/DP154477.jpg
252,China,https://images.metmuseum.org/CRDImages/as/web-large/DP165240.jpg
253,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161510.jpg
254,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP222178.jpg
255,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap95.14.100.jpg
256,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6705.jpg
257,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP277576.jpg
258,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6782.jpg
259,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP168881.jpg
260,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DT4763.jpg
261,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6801.jpg
262,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_30.JPG
263,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap57.19.jpg
264,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-286-001.jpg
265,Japan,https://images.metmuseum.org/CRDImages/as/web-large/ASA344.jpg
266,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6830.jpg
267,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP161467.jpg
268,China,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_101_O.jpg
269,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap06.1323.jpg
270,Japan,https://images.metmuseum.org/CRDImages/as/web-large/56_121_21_162311.jpg
271,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6654.jpg
272,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT233622.jpg
273,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT7414.jpg
274,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6678.jpg
275,China,https://images.metmuseum.org/CRDImages/as/web-large/1986_267_30.JPG
276,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap27.216.jpg
277,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DT5293.jpg
278,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP361944.jpg
279,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211806.jpg
280,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap12.205.2.jpg
281,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-066.jpg
282,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap64.243.jpg
283,America,https://images.metmuseum.org/CRDImages/ad/web-large/25597.jpg
284,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6901.jpg
285,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153881.jpg
286,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6746.jpg
287,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP361143.jpg
288,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-15580-007.jpg
289,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP217405.jpg
290,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_89_d1.JPG
291,Japan,https://images.metmuseum.org/CRDImages/as/web-large/07_246_17_O1_sf.jpg
292,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153539.jpg
293,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6864.jpg
294,America,https://images.metmuseum.org/CRDImages/ad/web-large/14618.jpg
295,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS628.jpg
296,China,https://images.metmuseum.org/CRDImages/as/web-large/DT2770.jpg
297,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap74.11.jpg
298,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT2059.jpg
299,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap00.17.2.jpg
300,China,https://images.metmuseum.org/CRDImages/as/web-large/DP-1311-002.jpg
301,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT9507.jpg
302,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP-1427-033.jpg
303,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap25.110.135.jpg
304,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP277561.jpg
305,America,https://images.metmuseum.org/CRDImages/ad/web-large/255351.jpg
306,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap17.67.jpg
307,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153562.jpg
308,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT275484.jpg
309,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT228023.jpg
310,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP279654.jpg
311,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap61.90.jpg
312,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6551.jpg
313,China,https://images.metmuseum.org/CRDImages/as/web-large/DP204430_CRD.jpg
314,China,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_160.jpg
315,Japan,https://images.metmuseum.org/CRDImages/as/web-large/29_100_508_06_sf.jpg
316,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap64.198.6.jpg
317,China,https://images.metmuseum.org/CRDImages/as/web-large/DP-19288-001.jpg
318,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153555.jpg
319,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP105577.jpg
320,China,https://images.metmuseum.org/CRDImages/as/web-large/DP159109.jpg
321,China,https://images.metmuseum.org/CRDImages/as/web-large/DP153498.jpg
322,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap38.146.11.jpg
323,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP-2886-001.jpg
324,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP211887.jpg
325,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP145407.jpg
326,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT243863.jpg
327,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-076.jpg
328,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap92.17.jpg
329,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6778.jpg
330,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161441.jpg
331,China,https://images.metmuseum.org/CRDImages/as/web-large/DP147212.jpg
332,Japan,https://images.metmuseum.org/CRDImages/as/web-large/36_100_5_O2_sf.jpg
333,Japan,https://images.metmuseum.org/CRDImages/as/web-large/1975_268_122.JPG
334,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap06.200.jpg
335,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP221670.jpg
336,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP142281.jpg
337,China,https://images.metmuseum.org/CRDImages/as/web-large/13_220_88.jpg
338,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP221038.jpg
339,China,https://images.metmuseum.org/CRDImages/as/web-large/1982_7_4_S1.jpg
340,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP222182.jpg
341,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap17.134.6.jpg
342,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6699.jpg
343,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap52.199.jpg
344,Japan,https://images.metmuseum.org/CRDImages/as/web-large/DP700743.jpg
345,America,https://images.metmuseum.org/CRDImages/ad/web-large/DT221513.jpg
346,America,https://images.metmuseum.org/CRDImages/ad/web-large/ap1974.151.jpg
347,China,https://images.metmuseum.org/CRDImages/as/web-large/13_220_104.jpg
348,China,https://images.metmuseum.org/CRDImages/as/web-large/DP104395_crd.jpg
349,China,https://images.metmuseum.org/CRDImages/as/web-large/DP161428.jpg
350,China,https://images.metmuseum.org/CRDImages/as/web-large/DP210925_CRD.jpg
351,China,https://images.metmuseum.org/CRDImages/as/web-large/1972_278_5_O.JPG
352,America,https://images.metmuseum.org/CRDImages/ad/web-large/APS6914.jpg
353,America,https://images.metmuseum.org/CRDImages/ad/web-large/DP168953.jpg
